Emotion Lexemes,Emotion Family,Basic Emotions
tendering,tenderness,enjoyment
tenderer,tenderness,enjoyment
tenderness,tenderness,enjoyment
territoriality,territoriality,anger
territorializes,territoriality,anger
territorialities,territoriality,anger
territorial,territoriality,anger
territorializing,territoriality,anger
territorialize,territoriality,anger
territorialized,territoriality,anger
testiest,testiness,anger
testier,testiness,anger
testy,testiness,anger
testinesses,testiness,anger
testily,testiness,anger
testiness,testiness,anger
thank,thankfulness,enjoyment
thankfulnesses,thankfulness,enjoyment
thanking,thankfulness,enjoyment
thanked,thankfulness,enjoyment
thankful,thankfulness,enjoyment
thanks,thankfulness,enjoyment
thankfulness,thankfulness,enjoyment
threatens,threat,fear
threaten,threat,fear
threats,threat,fear
threatened,threat,fear
threat,threat,fear
threatening,threat,fear
thrill,thrilled,enjoyment
thrilling,thrilled,enjoyment
thrills,thrilled,enjoyment
thrilled,thrilled,enjoyment
thunderstruck,thunderstruck,surprise
tickle,tickled,enjoyment
tickles,tickled,enjoyment
tickling,tickled,enjoyment
tickled,tickled,enjoyment
timidly,timidness,fear
timidity,timidness,fear
timidest,timidness,fear
timider,timidness,fear
timid,timidness,fear
timidness,timidness,fear
titillating,titillation,enjoyment
titillation's,titillation,enjoyment
titillated,titillation,enjoyment
titillate,titillation,enjoyment
titillates,titillation,enjoyment
titillation,titillation,enjoyment
touched,touched,enjoyment
touching,touched,enjoyment
touchingly,touched,enjoyment
touches,touched,enjoyment
touch,touched,enjoyment
touchiest,touchiness,anger
touchinesses,touchiness,anger
touchier,touchiness,anger
touchily,touchiness,anger
touchy,touchiness,anger
touchiness,touchiness,anger
tranquil,tranquility,enjoyment
tranquilize,tranquility,enjoyment
tranquilized,tranquility,enjoyment
tranquilizes,tranquility,enjoyment
tranquilizer,tranquility,enjoyment
tranquilizing,tranquility,enjoyment
tranquility,tranquility,enjoyment
trepidatiously,trepidation,fear
trepidatious,trepidation,fear
trepidation,trepidation,fear
triumphed,triumphant,enjoyment
triumph,triumphant,enjoyment
triumphantly,triumphant,enjoyment
triumphant,triumphant,enjoyment
triumphing,triumphant,enjoyment
triumphs,triumphant,enjoyment
truculently,truculence,anger
truculency,truculence,anger
truculent,truculence,anger
truculence,truculence,anger
unhappinesses,unhappiness,sadness
unhappily,unhappiness,sadness
unhappier,unhappiness,sadness
unhappy,unhappiness,sadness
unhappiest,unhappiness,sadness
unhappiness,unhappiness,sadness
unruffling,unruffled,enjoyment
unruffled,unruffled,enjoyment
unruffles,unruffled,enjoyment
unruffledness,unruffled,enjoyment
unsettles,unsettled,fear
unsettle,unsettled,fear
unsettledness,unsettled,fear
unsettling,unsettled,fear
unsettled,unsettled,fear
unworthier,unworthiness,sadness
unworthinesses,unworthiness,sadness
unworthiness,unworthiness,sadness
unworthiest,unworthiness,sadness
unworthily,unworthiness,sadness
unworthy,unworthiness,sadness
upbeat,upbeat,enjoyment
upbeats,upbeat,enjoyment
uptight,uptight,fear
uptightness,uptight,fear
viciousness,viciousness,anger
viciously,viciousness,anger
viciousnesses,viciousness,anger
vicious,viciousness,anger
vindictive,vindictiveness,anger
vindictively,vindictiveness,anger
vindictiveness,vindictiveness,anger
wants,want,enjoyment
want,want,enjoyment
wanted,want,enjoyment
wanting,want,enjoyment
warier,wariness,fear
warinesses,wariness,fear
warily,wariness,fear
wariest,wariness,fear
wary,wariness,fear
wariness,wariness,fear
warm-hearted,warm-heartedness,enjoyment
warm-heartedly,warm-heartedness,enjoyment
warm-heartedness,warm-heartedness,enjoyment
warming,warmth,enjoyment
warmly,warmth,enjoyment
warmer,warmth,enjoyment
warmest,warmth,enjoyment
warmed,warmth,enjoyment
warm,warmth,enjoyment
warms,warmth,enjoyment
warmness,warmth,enjoyment
warmth,warmth,enjoyment
watchful,watchfulness,fear
watchfully,watchfulness,fear
watchfulness,watchfulness,fear
wearying,weariness,sadness
weary,weariness,sadness
wearier,weariness,sadness
wearied,weariness,sadness
wearinesses,weariness,sadness
weariness,weariness,sadness
wistfulness,wistful,sadness
wistfully,wistful,sadness
wistful,wistful,sadness
woefully,woe,sadness
woeful,woe,sadness
woes,woe,sadness
woe,woe,sadness
wonder,wonderment,surprise
wondered,wonderment,surprise
wonderfully,wonderment,surprise
wondering,wonderment,surprise
wonderful,wonderment,surprise
wonders,wonderment,surprise
wonderment,wonderment,surprise
world-wearied,world-weariness,sadness
world-weariness,world-weariness,sadness
world-wearinesses,world-weariness,sadness
worryingly,worry,fear
worrywart,worry,fear
worrying,worry,fear
worries,worry,fear
worried,worry,fear
worry,worry,fear
worthlessnesses,worthlessness,sadness
worthless,worthlessness,sadness
worthlessly,worthlessness,sadness
worthlessness,worthlessness,sadness
wound up,wound up,anger
wrathful,wrath,anger
wrathfully,wrath,anger
wrathfulness,wrath,anger
wrath,wrath,anger
wretchedly,wretchedness,sadness
wretched,wretchedness,sadness
wretchednesses,wretchedness,sadness
wretchedness,wretchedness,sadness
yearns,yearning,enjoyment
yearned,yearning,enjoyment
yearnings,yearning,enjoyment
yearn,yearning,enjoyment
yearningly,yearning,enjoyment
yearning,yearning,enjoyment
zealotry,zeal,enjoyment
zealot,zeal,enjoyment
zeal,zeal,enjoyment
zealots,zeal,enjoyment
zealousness,zeal,enjoyment
zealously,zeal,enjoyment
zealous,zeal,enjoyment
zest,zest,enjoyment
zestfulness,zest,enjoyment
zestfully,zest,enjoyment
zestiest,zest,enjoyment
zestier,zest,enjoyment
zests,zest,enjoyment
zestful,zest,enjoyment
zippiness,zippiness,enjoyment
zippiest,zippiness,enjoyment
zippier,zippiness,enjoyment
zippy,zippiness,enjoyment
fear,fear,fear
fears,fear,fear
feared,fear,fear
fearing,fear,fear
fearful,fear,fear
fearfully,fear,fear
fearsome,fear,fear
isolate,isolation,sadness
isolates,isolation,sadness
isolated,isolation,sadness
isolating,isolation,sadness
isolation,isolation,sadness
scare,scared,fear
scares,scared,fear
scared,scared,fear
scaring,scared,fear
scary,scared,fear
helpless,helplessness,sadness
helplessly,helplessness,sadness
helplessness,helplessness,sadness
hesitate,hesitation,fear
hesitates,hesitation,fear
hesitated,hesitation,fear
hesitating,hesitation,fear
hesitantly,hesitation,fear
hesitant,hesitation,fear
hesitancy,hesitation,fear
hesitation,hesitation,fear
terrify,terrified,fear
terrifies,terrified,fear
terrified,terrified,fear
terrifying,terrified,fear
terror,terrified,fear
betrayed,betrayed,sadness
betray,betrayed,sadness
betrays,betrayed,sadness
betraying,betrayed,sadness
horrify,horrified,disgust
horrifies,horrified,disgust
horrified,horrified,disgust
horrifying,horrified,disgust
horror,horrified,disgust
horrific,horrified,disgust
lonely,loneliness,sadness
lonelier,loneliness,sadness
loneliest,loneliness,sadness
lonelily,loneliness,sadness
lonelinesses,loneliness,sadness
loneliness,loneliness,sadness
angst,angst,fear
angsts,angst,fear
angsting,angst,fear
angsted,angst,fear
defeated,defeated,sadness
defeating,defeated,sadness
irritate,irritated,anger
irritates,irritated,anger
irritated,irritated,anger
irritating,irritated,anger
irritation,irritated,anger
irritable,irritated,anger
irritably,irritated,anger
frustration,frustration,anger
frustrating,frustration,anger
frustrate,frustration,anger
frustrates,frustration,anger
frustrated,frustration,anger
frustratingly,frustration,anger
