Emotion Lexemes,Emotion Family,Basic Emotions
cherish,cherish,enjoyment
chickening out,chicken,fear
chicken out,chicken,fear
chicken-hearted,chicken,fear
chickens out,chicken,fear
chickened out,chicken,fear
chill,chill,enjoyment
chilled,chill,enjoyment
chillaxed,chill,enjoyment
chills,chill,enjoyment
chilling,chill,enjoyment
chillax,chill,enjoyment
chillaxing,chill,enjoyment
closenesses,closeness,enjoyment
closer,closeness,enjoyment
close,closeness,enjoyment
closest,closeness,enjoyment
closely,closeness,enjoyment
closeness,closeness,enjoyment
coldnesses,coldness,disgust
cold,coldness,disgust
colder,coldness,disgust
coldly,coldness,disgust
coldest,coldness,disgust
coldness,coldness,disgust
collected,collected,enjoyment
combat,combativeness,anger
combative,combativeness,anger
combatively,combativeness,anger
combating,combativeness,anger
combats,combativeness,anger
combativeness,combativeness,anger
compassionately,compassion,enjoyment
compassionate,compassion,enjoyment
compassion,compassion,enjoyment
concern,concern,fear
concernedness,concern,fear
concerns,concern,fear
concernedly,concern,fear
concerned,concern,fear
concerning,concern,fear
confident,confidence,enjoyment
confidently,confidence,enjoyment
self-confident,confidence,enjoyment
confidence,confidence,enjoyment
confounded,confoundedness,surprise
confoundedly,confoundedness,surprise
confound,confoundedness,surprise
confounder,confoundedness,surprise
confounding,confoundedness,surprise
confounds,confoundedness,surprise
confoundedness,confoundedness,surprise
contemptuously,contempt,disgust
contemptuousness,contempt,disgust
contemptibly,contempt,disgust
contempt,contempt,disgust
contemptuous,contempt,disgust
contemptible,contempt,disgust
contented,contentment,enjoyment
contents,contentment,enjoyment
contentment's,contentment,enjoyment
contentedly,contentment,enjoyment
contenting,contentment,enjoyment
content,contentment,enjoyment
contentment,contentment,enjoyment
contriteness,contrition,sadness
contritely,contrition,sadness
contrite,contrition,sadness
contrition,contrition,sadness
courageousness,courage,enjoyment
courageously,courage,enjoyment
courageous,courage,enjoyment
courage,courage,enjoyment
coveting,covetousness,enjoyment
covetous,covetousness,enjoyment
covets,covetousness,enjoyment
covet,covetousness,enjoyment
covetousnesses,covetousness,enjoyment
covetously,covetousness,enjoyment
covetousness,covetousness,enjoyment
crab,crabbiness,anger
crabbinesses,crabbiness,anger
crabbedly,crabbiness,anger
crabbily,crabbiness,anger
crabbed,crabbiness,anger
crabbing,crabbiness,anger
crabby,crabbiness,anger
crabbier,crabbiness,anger
crabbiness,crabbiness,anger
cranky,crankiness,anger
cranked,crankiness,anger
cranking,crankiness,anger
crankier,crankiness,anger
crank,crankiness,anger
crankily,crankiness,anger
crankiest,crankiness,anger
crankiness,crankiness,anger
craved,craving,enjoyment
craves,craving,enjoyment
craving,craving,enjoyment
crave,craving,enjoyment
crestfallenness,crestfallen,sadness
crestfallenly,crestfallen,sadness
crestfallen,crestfallen,sadness
crossly,cross,anger
crossness,cross,anger
crossing,cross,anger
crossed,cross,anger
cross,cross,anger
crosses,cross,anger
cruelness,cruelty,anger
cruel,cruelty,anger
cruelty's,cruelty,anger
crueler,cruelty,anger
cruelly,cruelty,anger
cruellest,cruelty,anger
cruelties,cruelty,anger
cruelty,cruelty,anger
crush,crushed,sadness
crushing,crushed,sadness
crushable,crushed,sadness
crushed,crushed,sadness
crushes,crushed,sadness
culpably,culpability,sadness
culpability's,culpability,sadness
culpabilities,culpability,sadness
culpable,culpability,sadness
culpability,culpability,sadness
curious,curiosity,enjoyment
curiosity's,curiosity,enjoyment
curiously,curiosity,enjoyment
curiousness,curiosity,enjoyment
curiousnesses,curiosity,enjoyment
curiouser,curiosity,enjoyment
curiosities,curiosity,enjoyment
curiosity,curiosity,enjoyment
dazzlement,dazzlement,surprise
dazzled,dazzlement,surprise
dazzles,dazzlement,surprise
dazzler,dazzlement,surprise
dazzling,dazzlement,surprise
dazzle,dazzlement,surprise
debasement,debasement,disgust
debased,debasement,disgust
debase,debasement,disgust
debases,debasement,disgust
debasing,debasement,disgust
